"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"BUILT_BY";"COPYRIGHT";"DATASHEET";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"PRICE";"PROD_ID";"PURCHASE-URL";"SOURCELIBRARY";"VALUE";"VENDOR";
"BATT1";"KEYSTONE_54KEYSTONE_2";"KEYSTONE_54KEYSTONE_2";"KEYSTONE_V2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C1";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";"";
"C2";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"";"10uF";"";
"C3";"560pF";"560PF-0603-50V-5%";"0603";"0.56nF/560pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08749";"";"";"560pF";"";
"C4";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"";"10uF";"";
"C5";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00867";"";"";"10nF";"";
"C6";"10pF";"10PF-0603-50V-5%";"0603";"10pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-11812";"";"";"10pF";"";
"C7";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";"";
"C8";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00868";"";"";"1.0uF";"";
"C9";"2.2uF";"2.2UF-0603-10V-20%";"0603";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-07888";"";"";"2.2uF";"";
"C10";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00867";"";"";"10nF";"";
"C11";"47uF";"4.7UF0603";"0603";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08280";"";"";"4.7uF";"";
"C12";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";"";
"C13";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";"";
"C14";"47uF";"4.7UF0603";"0603";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08280";"";"";"4.7uF";"";
"C15";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00867";"";"";"10nF";"";
"C16";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";"";
"C17";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00868";"";"";"1.0uF";"";
"C18";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00868";"";"";"1.0uF";"";
"D1";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-00821";"";"";"GREEN";"";
"IC1";"NC7SZ66M5X";"NC7SZ66M5X";"SOT95P280X145-5N";"NC7SZ66M5X, Analogue SPST Switch Single SPST, 3 V, 5 V, 5-Pin, SOT-23, 1";"";"";"";"";"NC7SZ66M5X, Analogue SPST Switch Single SPST, 3 V, 5 V, 5-Pin, SOT-23, 1";"";"1.45mm";"ON Semiconductor";"NC7SZ66M5X";"";"512-NC7SZ66M5X";"https://www.mouser.com/Search/Refine.aspx?Keyword=512-NC7SZ66M5X";"";"";"";"";"";"";"";"";
"J1";"";"I2C_STANDARD";"1X04";"SparkFun I2C Standard Pinout Header";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J3";"";"CONN_05LOCK_LONGPADS";"1X05_LOCK_LONGPADS";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J5";"614105150721";"614105150721";"614105150721";"WR-COM Micro USB 2.0 Type B Vertical 5 Contacts";"";"";"";"";" USB - micro B USB 2.0 Receptacle Connector 5 Position Through Hole ";"";"";"";"";"Wurth Electronics";"";"";"614105150721";"None";"";"";"https://pricing.snapeda.com/search/part/614105150721/?ref=eda";"";"";"";
"L1";"LQH3NPN100MMEL";"LQH3NPN100MMEL";"INDPM3030X150N";"Fixed Inductors 10uH 1280mA 0.228ohm SRF=20MHz(min)";"";"";"";"";"Fixed Inductors 10uH 1280mA 0.228ohm SRF=20MHz(min)";"";"1.5mm";"Murata Electronics";"LQH3NPN100MMEL";"";"81-LQH3NPN100MMEL";"https://www.mouser.com/Search/Refine.aspx?Keyword=81-LQH3NPN100MMEL";"";"";"";"";"";"";"";"";
"Q1";"2.5A/30V/105mΩ";"MOSFET_PCH-DMG2307L";"SOT23-3";"P-channel MOSFETs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRANS-11308";"";"";"2.5A/30V/105mΩ";"";
"Q2";"BSS138";"BSS138";"SOT95P240X111-3N";"N-Channel 50V 220mA (Ta) 360mW (Ta) Surface Mount SOT-23-3  Check prices";"Good";"";"";"";" N-Channel 50V 220mA (Ta) 360mW (Ta) Surface Mount SOT-23-3 ";"";"";"";"";"ON Semiconductor";"";"";"BSS138";"SOT-23 ON Semiconductor";"None";"";"https://pricing.snapeda.com/search/part/BSS138/?ref=eda";"";"";"";
"Q3";"BSS138";"BSS138";"SOT95P240X111-3N";"N-Channel 50V 220mA (Ta) 360mW (Ta) Surface Mount SOT-23-3  Check prices";"Good";"";"";"";" N-Channel 50V 220mA (Ta) 360mW (Ta) Surface Mount SOT-23-3 ";"";"";"";"";"ON Semiconductor";"";"";"BSS138";"SOT-23 ON Semiconductor";"None";"";"https://pricing.snapeda.com/search/part/BSS138/?ref=eda";"";"";"";
"R1";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07857";"";"";"4.7k";"";
"R2";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"10k";"";
"R3";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07856";"";"";"1k";"";
"R4";"10M";"10MOHM-0603-1/10W-5%";"0603";"RES-09327";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08283";"";"";"10M";"";
"R5";"365k";"348KOHM-0603-1/10W-1%";"0603";"348kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-12533";"";"";"348k";"";
"R6";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07857";"";"";"4.7k";"";
"R7";"10M";"10MOHM-0603-1/10W-5%";"0603";"RES-09327";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08283";"";"";"10M";"";
"R8";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07857";"";"";"4.7k";"";
"R9";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07857";"";"";"4.7k";"";
"R10";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07857";"";"";"4.7k";"";
"R11";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07857";"";"";"4.7k";"";
"R18";"2M";"1MOHM-0603-1/4W-5%";"0603";"1MΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07868";"";"";"1M";"";
"RESET1";"";"MOMENTARY-SWITCH-SPST-2-SMD-4.6X2.8MM";"TACTILE_SWITCH_SMD_4.6X2.8MM";"Momentary Switch (Pushbutton) - SPST - Two Circuits";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SWCH-13065";"";"";"";"";
"U$5";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$6";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$7";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"TS3A4751";"TS3A4751";"14_PIN";"TS3A4751 Quad Switch";"Unavailable";"";"";"";" 0.9 Ohm Low-Voltage Single-Supply Quad SPST Analog Switch ";"";"";"";"";"Texas Instruments";"";"";"TS3A4751";"TSSOP-14 Texas Instruments";"None";"";"";"";"";"";
"U2";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"VREG-12457";"";"";"3.3V";"";
"U4";"LTC3106EUDC#TRPBF";"LTC3106EUDC#TRPBF";"QFN50P400X300X80-21N";"LTC3106 - 300mA Low Voltage Buck-Boost Converter with PowerPath and 1.6μA Quiescent Current";"Unavailable";"";"";"";" LTC3106 - 300mA Low Voltage Buck-Boost Converter with PowerPath and 1.6μA Quiescent Current ";"";"";"";"";"Linear Technology/Analog";"";"";"LTC3106EUDC#TRPBF";"QFN-20 Linear Technology";"None";"";"";"";"";"";
"U7";"STEVAL-STLCS01V1";"STEVAL-STLCS01V1";"XDCR_STEVAL-STLCS01V1";"Evaluation kit based on the STM32L476JGY6TR, LSM303AGRTR, LSM6DSMTR, BlueNRG-MSCSP, LPS22HBTR, MP34DT04 and BALF-NRG";"Unavailable";"";"";"";" BlueNRG-MS, LPS22HB, LSM6DSM, LSM303AGR, MP34DT04, STM32L4 SensorTile Accelerometer, Gyroscope, Humidity, Magnetometer, Pressure, Temperature Sensor Evaluation Board ";"";"";"";"";"STMicroelectronics";"";"";"STEVAL-STLCS01V1";"None";"None";"";"";"";"";"";
"U8";"USBLC6-2";"USBLC6-2";"USBLC6-2P6";"";"Unavailable";"";"";"";" 17V Clamp 5A (8/20µs) Ipp Tvs Diode Surface Mount SOT-23-6 ";"";"";"";"";"STMicroelectronics";"";"";"USBLC6-2";"SOT-563 STMicroelectronics";"None";"";"";"";"";"";
"U9";"ISM330DHCXTR";"ISM330DHCXTR";"QFN_DHCXTR_STM";"";"";"EMA_Matt";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"https://www.st.com/resource/en/datasheet/ism330dhcx.pdf";"";"";"";"";"ISM330DHCXTR";"";"";"";"";"";"";"";"";"Add_to_database_2020-11-05";"";"STMicroelectronics";
"U10";"HTS221TRHLGA-6L_2X2_STM-M";"HTS221TRHLGA-6L_2X2_STM-M";"HLGA-6L_2X2_STM-M";"";"";"EMA_Anthony";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"https://www.st.com/content/ccc/resource/technical/document/datasheet/4d/9a/9c/ad/25/07/42/34/DM00116291.pdf/files/DM00116291.pdf/jcr:content/translations/en.DM00116291.pdf";"";"";"";"";"HTS221TR";"";"";"";"";"";"";"";"";"Updates_to_database_2020-11-03";"";"STMicroelectronics";
